invoice_number,vendor_name,gst_number,invoice_category,payment_method,invoice_amount,tax_amount,payment_terms,invoice_date,due_date,vendor_frequency,duplicate_invoice,gst_valid,tax_mismatch,date_anomaly,amount_deviation,fraud
INV-100000,Bluechip Enterprises,12VTHRF9484GZZR,Consulting,Cheque,72804.43,13104.8,45,2026-06-10 12:15:35.167940,2026-07-25 12:15:35.167940,94,0,1,0,0,0.57,0
INV-100001,Vertex Systems,31IUDSE3957J1Z9,Electronics,Bank Transfer,61299.16,11033.85,60,2026-01-01 12:15:35.167970,2026-03-02 12:15:35.167970,90,0,1,0,0,1.04,0
INV-100002,TechNova,33BXCCS4024TEZR,Hardware,Cheque,8550.36,1539.06,60,2025-10-21 12:15:35.167986,2025-12-20 12:15:35.167986,58,0,1,0,0,1.02,0
INV-100003,Vertex Systems,15YDUZI5760XSZM,Consulting,UPI,70013.99,14960.49,45,2025-09-09 12:15:35.167998,2025-10-24 12:15:35.167998,70,0,1,1,0,1.19,1
INV-100004,XYZ Solutions,26AHDPR2999XRZT,Consulting,Bank Transfer,51297.09,9233.48,45,2026-03-19 12:15:35.168013,2026-05-03 12:15:35.168013,81,0,1,0,0,0.76,0
INV-100005,Skyline Pvt Ltd,19VAECG4298XBZP,Consulting,Cheque,74770.78,13458.74,60,2026-04-24 12:15:35.168024,2026-06-23 12:15:35.168024,38,0,1,0,0,0.76,0
INV-100006,Bluechip Enterprises,35IJPPU1296I4Z1,Hardware,Cheque,5648.32,1016.7,60,2025-06-23 12:15:35.168034,2025-08-22 12:15:35.168034,6,0,1,0,0,1.44,0
INV-100007,Apex Supplies,12TBUQU3907D2ZD,Maintenance,Cheque,45925.16,8266.53,30,2025-07-08 12:15:35.168045,2025-08-07 12:15:35.168045,6,0,1,0,0,1.28,0
INV-100008,Bluechip Enterprises,33WNFOT7016QIZ9,Consulting,Bank Transfer,53491.09,9628.4,30,2026-01-09 12:15:35.168055,2026-02-08 12:15:35.168055,69,0,1,0,0,0.84,0
INV-100009,Bluechip Enterprises,35GJUAC6140T3ZA,Hardware,UPI,8106.66,1459.2,15,2025-12-27 12:15:35.168066,2026-01-11 12:15:35.168066,8,0,1,0,0,1.17,0
INV-100010,Skyline Pvt Ltd,33NTKOB7320LZZL,Consulting,Bank Transfer,63625.16,11452.53,30,2025-09-07 12:15:35.168078,2025-10-07 12:15:35.168078,47,0,1,0,0,1.44,0
INV-100011,XYZ Solutions,37PLSHD2012FGZV,Consulting,Credit Card,2538.66,456.96,60,2025-09-22 12:15:35.168087,2025-11-21 12:15:35.168087,97,0,1,0,0,0.96,0
INV-100012,Bluechip Enterprises,25SRCIV1404YZZX,Electronics,Bank Transfer,52455.78,9442.04,30,2026-03-22 12:15:35.168097,2026-04-21 12:15:35.168097,30,0,1,0,0,1.26,0
INV-100013,Skyline Pvt Ltd,GST-ERROR,Hardware,Cheque,37689.2,6784.06,15,2025-10-15 12:15:35.168108,2025-10-30 12:15:35.168108,98,0,0,0,0,0.61,1
INV-100014,Skyline Pvt Ltd,23BCBLJ7132GGZI,Maintenance,Bank Transfer,4308.63,775.55,30,2026-06-05 12:15:35.168119,2026-07-05 12:15:35.168119,31,0,1,0,0,0.66,0
INV-100015,TechNova,24TEFFY0855DLZM,Maintenance,Bank Transfer,62764.54,11297.62,60,2025-08-15 12:15:35.168131,2025-10-14 12:15:35.168131,28,0,1,0,0,0.51,0
INV-100016,Apex Supplies,19IVIFP8603S0ZT,Maintenance,Cheque,63971.48,11514.87,45,2025-07-26 12:15:35.168141,2025-07-07 12:15:35.168141,99,0,1,0,1,0.87,1
INV-100017,Apex Supplies,21KSNFH7935HOZT,Hardware,Bank Transfer,42494.54,7649.02,15,2026-05-13 12:15:35.168153,2026-05-28 12:15:35.168153,13,0,1,0,0,1.26,0
INV-100018,Bluechip Enterprises,21XVFVF0864ZKZ6,Electronics,Bank Transfer,60004.0,10800.72,15,2026-04-19 12:15:35.168163,2026-05-04 12:15:35.168163,11,0,1,0,0,0.96,0
INV-100019,Global Traders,30JVEAU2434S3ZF,Hardware,Credit Card,91931.28,19194.22,15,2025-10-04 12:15:35.168177,2025-10-19 12:15:35.168177,45,0,1,1,0,0.51,1
INV-100020,TechNova,17PWAIB5501BBZM,Electronics,Cheque,72205.75,12997.03,30,2026-01-03 12:15:35.168190,2026-02-02 12:15:35.168190,48,0,1,0,0,0.96,0
INV-100021,Prime Electronics,28KXAFB9412Q7Z8,Software,Credit Card,89645.57,16136.2,15,2026-06-19 12:15:35.168200,2026-07-04 12:15:35.168200,100,0,1,0,0,0.97,0
INV-100022,TechNova,36PJFUZ9097MLZ7,Hardware,Credit Card,43040.23,7747.24,60,2025-07-06 12:15:35.168209,2025-09-04 12:15:35.168209,31,0,1,0,0,0.85,0
INV-100023,TechNova,31MCNDW2442TLZE,Electronics,UPI,55611.86,10010.13,30,2025-12-31 12:15:35.168219,2026-01-30 12:15:35.168219,52,0,1,0,0,1.19,0
INV-100024,Future Innovations,37JQDCI5298R4Z1,Consulting,Credit Card,30212.98,5438.34,30,2026-01-27 12:15:35.168229,2026-02-26 12:15:35.168229,64,0,1,0,0,0.72,0
INV-100025,Skyline Pvt Ltd,19UQIJM5543C1Z6,Maintenance,Credit Card,32010.11,5761.82,30,2026-05-28 12:15:35.168238,2026-06-27 12:15:35.168238,29,1,1,0,0,0.76,1
INV-100026,Apex Supplies,23FVLQG3292L0ZT,Software,Cheque,27457.21,4942.3,30,2025-06-29 12:15:35.168248,2025-07-29 12:15:35.168248,95,0,1,0,0,0.51,0
INV-100027,Global Traders,11IJVNM2936DLZ9,Software,UPI,37562.34,6761.22,60,2025-11-09 12:15:35.168258,2026-01-08 12:15:35.168258,41,0,1,0,0,1.35,0
