invoice_number,purchase_order,vendor_id,vendor_name,gst_number,category,country,state,currency,invoice_amount,gst_percentage,tax_amount,discount_percent,discount_amount,subtotal,total_amount,payment_method,payment_terms,payment_status,invoice_date,due_date,invoice_description,vendor_frequency,vendor_risk,blacklisted,duplicate_invoice,duplicate_po,gst_valid,tax_mismatch,date_anomaly,amount_anomaly,payment_anomaly,vendor_mismatch,currency_mismatch,risk_score,fraud
INV-2026-000001,PO-2026-000001,VEN1009,Skyline Corporation,08CNJXF6117LTZ3,Electronics,India,RJ,INR,124374.34,28,34824.82,10,12437.43,111936.91,146761.73,RTGS,45,Processing,2026-05-27,2026-07-11,Desktop Computer Purchase,29,Low,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000002,PO-2026-000002,VEN1007,Vision Private Limited,08SUIKN7426R6ZM,Maintenance,India,RJ,INR,47205.78,18,8497.04,10,4720.58,42485.2,50982.24,NEFT,45,Pending,2025-09-21,2025-11-05,Server Upgrade,139,Low,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000003,PO-2026-007343,VEN1038,Prime Technologies,24FGIUK4053ONZE,Cloud Services,India,GJ,INR,51977.06,18,9355.87,0,0.0,51977.06,61332.93,Cheque,30,Pending,2025-09-23,2025-10-23,Firewall Installation,109,Low,False,0,1,1,0,0,0,0,0,0,20,0
INV-2026-000004,PO-2026-000004,VEN1041,Tech Systems,36XOQRC5859VQZ8,Networking,India,TS,INR,195812.04,18,35246.17,10,19581.2,176230.84,211477.01,UPI,60,Processing,2026-02-15,2026-04-16,Cloud Infrastructure Subscription,135,Low,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000005,PO-2026-000005,VEN1070,Unknown Vendor,27ELCFF1383N8ZX,Consulting,India,MH,INR,139358.75,18,21428.87,0,0.0,139358.75,164443.33,NEFT,45,Pending,2025-06-30,2025-08-14,Cloud Infrastructure Subscription,144,Medium,False,0,0,1,1,0,0,0,1,0,20,0
INV-2026-000006,PO-2026-000006,VEN1015,Skyline Industries,08NMENJ5201LYZ6,Electronics,India,RJ,INR,58432.01,28,16360.96,10,5843.2,52588.81,68949.77,RTGS,30,Processing,2025-12-13,2026-01-12,Cyber Security Audit,49,High,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000007,PO-2026-002969,VEN1011,Apex Consulting,07PBPPU2079O4ZS,Hardware,India,DL,INR,178835.95,18,32190.47,0,0.0,178835.95,211026.42,NEFT,60,Paid,2026-04-28,2026-06-27,Cloud Storage Expansion,130,Low,False,0,1,1,0,0,0,0,0,0,20,0
INV-2026-000008,PO-2026-000008,VEN1059,Global Consulting,27EHCKP6509LXZ9,Networking,India,MH,INR,30747.65,18,5534.58,0,0.0,30747.65,36282.23,Bank Transfer,30,Processing,2026-05-15,2026-06-14,Network Switch Installation,121,Low,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000009,PO-2026-005324,VEN1008,Bluechip Electronics,19GPPXD3824VWZ6,Hardware,India,WB,INR,229031.53,18,81130.07,5,11451.58,217579.95,258805.63,NEFT,30,Paid,2025-09-26,2025-10-26,Cloud Storage Expansion,129,Low,False,0,1,1,1,0,0,0,0,0,40,0
INV-2026-000010,PO-2026-000010,VEN1085,Alpha Networks,19RIMMZ4392DJZ8,Maintenance,India,WB,INR,39270.4,18,7068.67,5,1963.52,37306.88,44375.55,Bank Transfer,45,Processing,2026-06-17,2026-06-07,IT Infrastructure Upgrade,146,Medium,False,0,0,1,0,1,0,0,0,0,15,0
