vendor_name,category,country,state,currency,invoice_amount,gst_percentage,tax_amount,discount_percent,discount_amount,subtotal,total_amount,payment_method,payment_terms,payment_status,invoice_description,vendor_frequency,vendor_risk,blacklisted,duplicate_invoice,duplicate_po,gst_valid,tax_mismatch,date_anomaly,amount_anomaly,payment_anomaly,vendor_mismatch,currency_mismatch,risk_score,fraud,tax_ratio,discount_ratio,effective_gst,vendor_amount_ratio,high_value_invoice,amount_zscore,invoice_age,invoice_month,invoice_quarter,invoice_day,is_weekend,is_month_end,financial_risk_count,vendor_risk_count,operational_risk_count,total_risk_indicators,high_risk_vendor,blacklisted_vendor,risk_severity
66.0,2.0,0.0,4.0,3.0,124374.34,28.0,34824.82,10.0,12437.43,111936.91,146761.73,3.0,45.0,4.0,6.0,29.0,1.0,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.1,28.0,0.979,1.0,-0.119,45.0,5.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
92.0,4.0,0.0,4.0,3.0,47205.78,18.0,8497.04,10.0,4720.58,42485.2,50982.24,2.0,45.0,3.0,13.0,139.0,1.0,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.1,18.0,1.066,1.0,0.105,45.0,9.0,3.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
53.0,0.0,0.0,1.0,3.0,51977.06,18.0,9355.87,0.0,0.0,51977.06,61332.93,1.0,30.0,3.0,7.0,109.0,1.0,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.18,0.0,18.0,0.923,0.0,-0.136,30.0,9.0,3.0,23.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
78.0,5.0,0.0,6.0,3.0,195812.04,18.0,35246.17,10.0,19581.2,176230.84,211477.01,4.0,60.0,4.0,2.0,135.0,1.0,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.1,18.0,1.09,1.0,0.226,60.0,2.0,1.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
80.0,1.0,0.0,3.0,3.0,139358.75,18.0,21428.87,0.0,0.0,139358.75,164443.33,2.0,45.0,3.0,2.0,144.0,2.0,False,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,20.0,0.0,0.1538,0.0,15.38,0.95,1.0,-0.04,45.0,6.0,2.0,30.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0
69.0,2.0,0.0,4.0,3.0,58432.01,28.0,16360.96,10.0,5843.2,52588.81,68949.77,3.0,30.0,4.0,4.0,49.0,0.0,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.1,28.0,0.903,0.0,-0.196,30.0,12.0,4.0,13.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
11.0,3.0,0.0,0.0,3.0,178835.95,18.0,32190.47,0.0,0.0,178835.95,211026.42,2.0,60.0,2.0,3.0,130.0,1.0,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.18,0.0,18.0,0.679,0.0,-0.477,60.0,4.0,2.0,28.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
35.0,5.0,0.0,3.0,3.0,30747.65,18.0,5534.58,0.0,0.0,30747.65,36282.23,0.0,30.0,4.0,10.0,121.0,1.0,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,18.0,0.725,0.0,-0.406,30.0,5.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19.0,3.0,0.0,7.0,3.0,229031.53,18.0,81130.07,5.0,11451.58,217579.95,258805.63,2.0,30.0,2.0,3.0,129.0,1.0,False,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.3542,0.05,35.42,0.952,0.0,-0.084,30.0,9.0,3.0,26.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0
9.0,4.0,0.0,7.0,3.0,39270.4,18.0,7068.67,5.0,1963.52,37306.88,44375.55,0.0,45.0,4.0,8.0,146.0,2.0,False,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,0.18,0.05,18.0,1.052,0.0,0.099,-10.0,6.0,2.0,17.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
4.0,6.0,0.0,3.0,3.0,16809.29,12.0,2017.11,10.0,1680.93,15128.36,17145.47,1.0,15.0,3.0,10.0,34.0,0.0,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.1,12.0,0.727,0.0,-0.657,15.0,6.0,2.0,24.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
